neck_2.x, neck_2.y, neck_2.z, right_shoulder_2.x, right_shoulder_2.y, right_shoulder_2.z, right_elbow_2.x,right_elbow_2.y, right_elbow_2.z, right_hand_2.x, right_hand_2.y, right_hand_2.z, right_hip_2.x,right_hip_2.y, right_hip_2.z, time.sec, time.nsec
2.793041,0.001083,0.706812,2.785907,-0.150697,0.704881,2.803466,-0.251848,0.437507,2.719953,-0.240145,0.134746,2.788951,-0.094246,0.267944,0,0
2.794571,0.003520,0.706217,2.785579,-0.148082,0.702330,2.802824,-0.249094,0.443955,2.729018,-0.243568,0.138158,2.782633,-0.085697,0.266319,0,0
2.799596,0.003373,0.712574,2.789506,-0.148218,0.710017,2.797211,-0.249931,0.454221,2.725739,-0.244991,0.147855,2.775276,-0.088809,0.273799,0,0
2.796856,0.004330,0.714870,2.786806,-0.147296,0.712727,2.796263,-0.254819,0.433497,2.713028,-0.243779,0.130358,2.782823,-0.089767,0.275985,0,0
2.796162,0.004033,0.707035,2.788769,-0.147701,0.704252,2.791799,-0.255973,0.413304,2.697892,-0.256941,0.124845,2.778707,-0.088163,0.267803,0,0
2.795791,0.003608,0.710410,2.790269,-0.148216,0.710553,2.792365,-0.252928,0.420833,2.708609,-0.247378,0.133352,2.777082,-0.097182,0.273117,0,0
2.795223,0.005610,0.710035,2.789138,-0.146240,0.710496,2.791645,-0.251340,0.416564,2.714154,-0.244393,0.128941,2.775081,-0.095987,0.272963,0,0
2.795000,0.003673,0.708968,2.788624,-0.148169,0.708204,2.796292,-0.250778,0.418717,2.715661,-0.231201,0.131235,2.776898,-0.094454,0.271013,0,0
2.797811,0.004082,0.710490,2.790353,-0.147657,0.710899,2.796330,-0.252319,0.413064,2.712697,-0.232416,0.129183,2.780046,-0.097333,0.273396,0,0
2.795925,0.006677,0.705431,2.788135,-0.145006,0.701992,2.797115,-0.250474,0.413763,2.716229,-0.239285,0.129299,2.778908,-0.083627,0.265821,0,0
2.797098,0.006706,0.711764,2.790229,-0.145075,0.709561,2.798584,-0.247715,0.427035,2.720432,-0.237264,0.141964,2.778456,-0.087185,0.272913,0,0
2.795883,0.002948,0.712123,2.792875,-0.148982,0.710458,2.797531,-0.255349,0.433457,2.724748,-0.241203,0.145547,2.778956,-0.092926,0.273666,0,0
2.793949,-0.001652,0.708263,2.790265,-0.153558,0.705653,2.799794,-0.252352,0.431511,2.726737,-0.248804,0.143135,2.775849,-0.094712,0.269253,0,0
2.791201,-0.009157,0.706643,2.786054,-0.160978,0.702378,2.807499,-0.263045,0.426890,2.734669,-0.258035,0.138405,2.773517,-0.097295,0.266565,0,0
2.796262,-0.022641,0.721169,2.791322,-0.174459,0.716392,2.811976,-0.270133,0.416468,2.745284,-0.268406,0.131988,2.770540,-0.109064,0.281234,0,0
2.789172,-0.044095,0.715983,2.787545,-0.195987,0.711255,2.810851,-0.287926,0.436697,2.763071,-0.300976,0.149235,2.770928,-0.131245,0.275729,0,0
2.775543,-0.061461,0.707321,2.779845,-0.213267,0.704047,2.811016,-0.307106,0.395328,2.758957,-0.321418,0.105929,2.773027,-0.153115,0.267645,0,0
2.754704,-0.075591,0.705966,2.760330,-0.227443,0.705225,2.797024,-0.308255,0.391534,2.748447,-0.328764,0.101162,2.767697,-0.174026,0.268063,0,0
2.730937,-0.082657,0.697548,2.734509,-0.234580,0.697937,2.782138,-0.323889,0.403924,2.714660,-0.339870,0.106434,2.749012,-0.184370,0.260533,0,0
2.701357,-0.084649,0.696980,2.701823,-0.236585,0.699351,2.737228,-0.336126,0.415105,2.693788,-0.339433,0.111392,2.715772,-0.192410,0.261224,0,0
